PATIENT_ID	ESR1	PGR	ERBB2	MKI67	TP53	BRCA1	BRCA2	PIK3CA	PTEN	AKT1
MB-0000	2.538388	1.8860369	-0.6444256	-1.6762106	-1.2334603	-0.05540197	-0.9319128	-0.029734455	-0.7644933	0.03992893
MB-0001	3.2865603	-0.23704244	-0.18847972	-0.1287622	0.8839977	0.35199925	6.289575	-0.17006233	-2.1899478	-0.3865727
MB-0002	1.2829913	0.14234743		-0.4513603	0.3135218	-0.3704765	-1.0242875	1.0076393	-0.55777377	-1.2460922
MB-0003	-3.1268668	1.403526	-0.7859674		-0.20699312	0.3905254	1.5857989	0.76490283	1.2194803	-0.4575466
MB-0004	1.4061254	0.930673	0.42439294	-2.3233423	0.32184318	0.49384287	0.8246245	-0.7778562	-0.7192298	2.1049407
MB-0005	3.6431801	0.6198342	-0.5646636	1.4765971	-0.46215433	1.2572477	-0.28605953		0.1462445	
MB-0006	-1.5665538	-1.7626638	3.1846786	-2.1212695	-0.8409951	1.6562364	0.087869406		1.5177419	-0.15810229
MB-0007	-2.1790802	0.46610665	-0.41097334	-0.48684165	-1.2709721	-0.48327044	1.2362376	2.509775	0.03727611	1.226407
MB-0008	3.3367715	-24.053959	-1.1862853	-0.6051405	0.44142795	0.88116425	0.13308232	0.5030322		
MB-0009	0.338315	0.011357452	-10.75314	0.74640626	-1.4761164	-0.82565963		0.43846834	-0.6536413	-1.1754396
MB-0010	-1.2912216	-1.6016525	-0.31732816		1.1057374	1.133223	-0.28948626	0.89987487	-1.172406	0.43877208
MB-0011		0.48196736	2.9184864		0.27808267	-0.4860485	-1.7562572	0.009202894	-1.2078067	0.24591231
MB-0012	0.35960793		-0.579247	0.4084059	-0.32416		-0.52874523	-0.39389998	-0.40818644	0.5963072
MB-0013	3.206292		0.0070291758	-1.2399763		0.512868	0.28867966	-0.64519113	0.5540768	
MB-0014		0.10081152	0.14481229	0.037158817	0.22856572	-0.565978	-0.63361067	-0.972418	0.8599545	-0.2839955
MB-0015	-0.8212447	2.7180538	0.3611769	-1.5641897	0.5919137	-0.961552	0.07201794	-0.46580523	0.1927864	2.02922
MB-0016	-1.8439022	-0.9875832	0.27453357		1.7948061	0.89091635	1.1380621	2.1488934	0.96063244	-1.8614453
MB-0017	2.8276768	0.9617456		-0.91143847	0.7976478	-1.0979601	-0.66989243	0.038185168		-0.9112732
MB-0018	-2.3222444		-0.5176953		0.42222586		-0.99241626	-1.0831815		1.4657574
MB-0019	3.9934688		-1.0931122	0.21689478	-1.1969075	-1.0197777	0.080592275		-0.82067114	0.9006117
MB-0020	-0.8291745	0.31309947	0.8725476	1.0537376	0.6630712	0.342469	-1.3367558	-0.23480617	-1.0574377	-1.6471889
MB-0021	-1.7188034	0.53327477	-2.6643338	-0.09543561	0.12433267	-0.095940374	-0.007991096	-1.5077932	0.7250933	0.122607514
MB-0022	-0.7992796	1.3815465	-1.0324774	-1.2506082		0.36602712	0.91005933	-2.8857036	0.24947505	0.50454205
MB-0023		0.42621946	0.12029892	-1.1638726	-1.7163143		1.9997408	1.2396739	11.96907	1.4263276
MB-0024	0.48330855	-0.9019069	-0.077360004	0.5472771	0.22310926	0.8888269	1.6610124	1.7826658	1.9740225	0.9202317
